Title,Author,First Published Year,Subjects,Cover Image URL
Harry Potter and the Goblet of Fire,J. K. Rowling,1999,orphans,http://covers.openlibrary.org/b/id/12059372-L.jpg
Harry Potter and the Deathly Hallows,J. K. Rowling,2007,the Elder Wand,http://covers.openlibrary.org/b/id/10110415-L.jpg
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,1999,Fantasy fiction,http://covers.openlibrary.org/b/id/10580435-L.jpg
Harry Potter and the Chamber of Secrets,J. K. Rowling,1998,Fantasy fiction,http://covers.openlibrary.org/b/id/8392798-L.jpg
Harry Potter and the Philosopher's Stone,J. K. Rowling,1997,Ghosts,http://covers.openlibrary.org/b/id/10521270-L.jpg
The Tales of Beedle the Bard,J. K. Rowling,2008,Magicians,http://covers.openlibrary.org/b/id/13776199-L.jpg
The Casual Vacancy,J. K. Rowling,2012,fiction,http://covers.openlibrary.org/b/id/9326674-L.jpg
Fantastic Beasts and Where to Find Them,J. K. Rowling,2001,Animales míticos,http://covers.openlibrary.org/b/id/8417016-L.jpg
Harry Potter and the Cursed Child,Jack Thorne,2001,Drama,http://covers.openlibrary.org/b/id/8763851-L.jpg
Quidditch Through the Ages,J. K. Rowling,2001,Miscellanea,http://covers.openlibrary.org/b/id/8273320-L.jpg
The Cuckoo's Calling,J. K. Rowling,2013,private investigators,http://covers.openlibrary.org/b/id/7261207-L.jpg
Career of Evil,J. K. Rowling,2015,Private investigators,http://covers.openlibrary.org/b/id/9243446-L.jpg
The Silkworm,J. K. Rowling,2014,missing persons,http://covers.openlibrary.org/b/id/7403180-L.jpg
Harry Potter (series) 1-7,J. K. Rowling,1999,New York Times bestseller,http://covers.openlibrary.org/b/id/8457523-L.jpg
Fantastic Beasts and Where to Find Them. The Original Screenplay,J. K. Rowling,2001,Wizards,http://covers.openlibrary.org/b/id/7884242-L.jpg
Harry Potter (series) 1-4,J. K. Rowling,1999,wizards,http://covers.openlibrary.org/b/id/8761929-L.jpg
The Ickabog,J. K. Rowling,2020,nyt:childrens-middle-grade-hardcover=2020-11-29,http://covers.openlibrary.org/b/id/10328306-L.jpg
Troubled Blood,J. K. Rowling,2020,nyt:combined-print-and-e-book-fiction=2020-10-04,http://covers.openlibrary.org/b/id/10147317-L.jpg
Harry Potter y el prisionero de Azkaban,J. K. Rowling,2015,,http://covers.openlibrary.org/b/id/14171596-L.jpg
Harry Potter y la Orden del Fénix,J. K. Rowling,2015,,http://covers.openlibrary.org/b/id/14171605-L.jpg
Harry Potter i el pres d'Azkaban,J. K. Rowling,2001,,http://covers.openlibrary.org/b/id/13523561-L.jpg
Harry Potter i el calze de foc,J. K. Rowling,2001,,http://covers.openlibrary.org/b/id/10505804-L.jpg
Harry Potter i la pedra filosofal,J. K. Rowling,1999,,http://covers.openlibrary.org/b/id/13523564-L.jpg
